10yard	10ヤードファイト	てんやーどふぁいと
g_aspg	Asterix and the Power of The Gods (メガドライブ)	あすてりくすあんどざぱわーおぶざごっず_m
g_astgru	Asterix and the Great Rescue (メガドライブ)	あすてりくすあんどざぐれーとれすきゅー_m
g_atpt	ATP Tour Championship Tennis (メガドライブ)	えーてひーぴーつあーちゃんぴおんしっぷてにす_m
g_awep	オーサムポッサム (メガドライブ)	おーさむぽっさむ_m
g_babyb2	Baby's Day Out (メガドライブ) (プロトタイプ)	べびーずでいあうと_m
g_balz	3D Ballz (メガドライブ)	すりーでぃーぼーるず_m
g_barb	Barbie Super Model (メガドライブ)	ばーびーすーぱーもでる_m
g_barbvb	Barbie Vacation Adventure (メガドライブ)	ばーびーばけーしょんあどべんちゃー_m
g_basp	Bass Masters Classic - Pro Edition (メガドライブ)	ばすますたーくらしっくぷろ_m
g_bass	Bass Masters Classic (メガドライブ)	ばすますたーくらしっく_m
g_bat	バットマン (メガドライブ)	ばっとまん_m
g_batj	Batman - Revenge of the Joker (メガドライブ)	ばっとまんりべんじおぶざじょーかー_m
g_bbbq	Beauty and the Beast - Belle's Quest (メガドライブ)	びゅーてぃーあんどざびーすとべるずくえすと_m
g_bbrb	Beauty and the Beast - Roar of the Beast (メガドライブ)	びゅーてぃーあんどざびーすとろあおぶざびーすと_m
g_bean	Dr. Robotnik's Mean Bean Machine (メガドライブ)	どくたーろぼてぃんくすみーんびーんましーん_m
g_bear	The Berenstain Bears' Camping Adventure (メガドライブ)	ばれんすたいんべあ_m
g_blee	Dragon - The Bruce Lee Story (メガドライブ)	どらごんざぶるーすりーすとーりー_m
g_blma	Blaster Master 2 (メガドライブ)	ぶらすたーますたー2_m
g_blueal	ブルーアルマナック (メガドライブ)	ぶるーあるまなっく_m
g_bnza	ボナンザブラザーズ (メガドライブ)	ぼなんざぶらざーず_m
g_body	Body Count (メガドライブ)	ぼでぃかうんと_m
g_boxl	Boxing Legends of the Ring (メガドライブ)	ぼくしんぐれじぇんずおぶざりんぐ_m
g_brpw	Brutal - Paws of Fury (メガドライブ)	ぶるーたる_m
g_bsht	Bloodshot (メガドライブ)	ぶらっどしょっと_m
g_btdd	Battletoads and Double Dragon - The Ultimate Team (メガドライブ)	ばとるとーずあんどだぶるどらごん_m
g_btnm	The Simpsons - Bart's Nightmare (メガドライブ)	ざしんぷそんずばーつないとめあ_m
g_btoa	BattleToads (メガドライブ)	ばとるとーず_m
g_buba	Bubba 'n' Stix (メガドライブ)	ぶっばんすてぃっくす_m
g_burf	バーニングフォース (メガドライブ)	ばーにんぐふぉーす_m
g_bzerot	Beyond Zero Tolerance (メガドライブ) (プロトタイプ)	びよんどぜろとれらんす_m
g_c50	キャリバー50 (メガドライブ)	きゃりばーふぃふてぃ_m
g_cada	カダッシュ (メガドライブ)	かだっしゅ_m
g_caes	Caesars Palace (メガドライブ)	しーざーずぱれす_m
g_cano	Cannon Fodder (メガドライブ)	きゃのんふぉっだー_m
g_capp	Captain Planet and the Planeteers (メガドライブ)	きゃぷてんぷらねっと_m
g_casv	バンパイアキラー / Castlevania Bloodlines (メガドライブ)	ばんぱいあきらー_m
g_cc	新創世記ラグナセンティ / Crusader of Centy / Soleil (メガドライブ)	しんそうせいきらぐなせんてぃ_m
g_cfir	CrossFire (メガドライブ)	くろすふぁいあ_m
g_cfn2	College Football's National Championship II (メガドライブ)	かれっじふっとぼーるずなしょなるちゃんぴおんしっぷ_m
g_cgam	California Games (メガドライブ)	かりふぉるにあげーむず_m
g_chav2	Chavez II (メガドライブ)	ちゃべす2_m
g_che2	Chester Cheetah Wild Wild Quest (メガドライブ)	ちぇすたーちーたーわいるどわいるどくえすと_m
g_chik	チキチキボーイズ (メガドライブ)	ちきちきぼーいず_m
g_chouya	超球界ミラクルナイン (メガドライブ)	ちょうきゅうかいみらくるないん_m
g_chq2	スーパーH.Q. / Chase H.Q. II (メガドライブ)	すーぱーえいちきゅー_m
g_cill	Castle of Illusion Starring Mickey Mouse (メガドライブ)	きゃっするおぶいりゅーじょん_m
g_clay	Clay Fighter (メガドライブ)	くれいふぁいたー_m
g_clue	Clue (メガドライブ)	くるー_m
g_col	コラムス (メガドライブ)	こらむす_m
g_col3	コラムスIII - 対決!コラムスワールド (メガドライブ)	こらむす3_m
g_comx	コミックスゾーン (メガドライブ)	こみっくすぞーん_m
g_cont	魂斗羅 ザ・ハードコア (メガドライブ)	こんとらざはーどこあ_m
g_cool	クールスポット (メガドライブ)	くーるすぽっと_m
g_cpoo	Championship Pool (メガドライブ)	ちゃんぴおんしっぷぷーる_m
g_crjb	Cal Ripken Jr. Baseball (メガドライブ)	かるりぷけんじゅにあ_m
g_crkd	クラックダウン (メガドライブ)	くらっくだうん_m
g_crue	クルーボール (メガドライブ)	くるーぼーる_m
g_crys	Crystal's Pony Tale (メガドライブ)	くりすたるずぽにーている_m
g_csla	College Slam (メガドライブ)	かれっじすらむ_m
g_curs	カース (メガドライブ)	かーす_m
g_cutt	Cutthroat Island (メガドライブ)	かっとすろーとあいらんど_m
g_cuty	キューティー鈴木のリングサイドエンジェル (メガドライブ)	きゅーてぃーすずきのりんぐさいどえんじぇる_m
g_cwcs	Champions World Class Soccer (メガドライブ)	ちゃんぴおんずわーるどくらすさっかー_m
g_cybb	CyberBall (メガドライブ)	さいばーぼーる_m
g_cybo	Cyborg Justice (メガドライブ)	さいぼーぐじゃすてぃす_m
g_dahna	ダーナ 女神誕生 (メガドライブ)	だーなめがみたんじょう_m
g_dang	デンジャラスシード (メガドライブ)	でんじゃらすしーど_m
g_dblc	Double Clutch (メガドライブ)	だぶるくらっち_m
g_dc3d	デビルズコース (メガドライブ)	でびるずこーす_m
g_dcat	David Crane's Amazing Tennis (メガドライブ)	でびっどくれーんずあめいじんぐてにす_m
g_ddr3	Double Dragon 3 - The Arcade Game (メガドライブ)	だぶるどらごん3_m
g_dduk	ダイナマイトデューク (メガドライブ)	だいなまいとでゅーく_m
g_ddwe	Dungeons and Dragons - Warriors of the Eternal Sun (メガドライブ)	だんじょんずあんどらごんずうぉーりあーずおぶざえたーなるさん_m
g_desd	Desert Demolition Starring Road Runner and Wile E. Coyote (メガドライブ)	でざーとでもりしょん_m
g_dfry	デビルクラッシュMD / Dragons Fury (メガドライブ)	でびるくらっしゅ_m
g_dialq	脱衣麻雀 ダイヤルQを回せ！ (メガドライブ)	だついまーじゃんだいやるきゅーをまわせ_m
g_dick	ディックトレイシー (メガドライブ)	でぃっくとれいしー_m
g_dicv	Dick Vitale's 'Awesome, Baby!' College Hoops (メガドライブ)	でぃっくびたーれ_m
g_djby	DJボーイ (メガドライブ)	でぃーじぇいぼーい_m
g_dlnd	超闘竜烈伝ディノランド (メガドライブ)	ちょうとうりゅうれつでんでぃのらんど_m
g_dn3d	Duke Nukem 3D (Brazil)	でゅーくにゅーけむ_m
g_dodg	炎の闘球児 ドッジ弾平 (メガドライブ)	ほのおのとうきゅうじどっじだんぺい_m
g_dstr	デザートストライク - 湾岸作戦 (メガドライブ)	でざーとすとらいく_m
g_e_bt	ESPN Baseball Tonight (メガドライブ)	いーえすぴーえぬべーすぼーるとぅないと_m
g_e_hn	ESPN National Hockey Night (メガドライブ)	いーえすぴーえぬほっけーないと_m
g_e_sn	ESPN Sunday Night NFL (メガドライブ)	いーえすぴーえぬないとえぬえふえる_m
g_earn	アーネストエバンス (メガドライブ)	あーねすとえばんず_m
g_ecco	エコー・ザ・ドルフィン (メガドライブ)	えこーざどるふぃん_m
g_ecjr01	Ecco Jr. (メガドライブ) (March 1995)	えこじゅにあ_m
g_eco2	Ecco 2 - The Tides of Time (メガドライブ)	えこ2_m
g_ejim	Earthworm Jim (メガドライブ)	あーすうぉーむじむ1_m
g_elemj	エレメンタルマスター (メガドライブ)	えれめんたるますたー_m
g_elvi	エルヴィエント (メガドライブ)	えるびえんと_m
g_eswa	サイバーポリス E-SWAT / ESWAT - City Under Siege (メガドライブ)	さいばーぽりすいーすわっと_m
g_f1c	F1サーカスMD (メガドライブ)	えふわんさーかすえむでぃー_m
g_f1ce	F1 - World Championship Edition (メガドライブ)	えふわんわーるどちゃんぴおんしっぷえでぃしょん_m
g_fbak	フラッシュバック (メガドライブ)	ふらっしゅばっく_m
g_ferias	Ferias Frustradas do Pica-Pau (メガドライブ)	ふぇりあすふるすとらだす_m
g_feud	Family Feud (メガドライブ)	ふぁみりーふゅーど_m
g_flin	フリントストーン (メガドライブ)	ふりんとすとーん_m
g_fmas	ファイティングマスターズ (メガドライブ)	ふぁいてぃんぐますたーず_m
g_fore	Foreman For Real (メガドライブ)	ふぉーまんふぉーりある_m
g_fpro	サンダープロレスリング列伝 (メガドライブ)	さんだーぷろれすりんぐれつでん_m
g_frgp	フェラーリグランプリチャレンジ (メガドライブ)	ふぇらーりぐらんぷりちゃれんじ_m
g_fshk	鮫！鮫！鮫！ / Fire Shark (メガドライブ)	さめさめさめ_m
g_ftbhb	Frank Thomas Big Hurt Baseball (メガドライブ)	ふらんくとーますびっぐはーとべーすぼーる_m
g_fw	ロストワールド / Forgotten Worlds (メガドライブ)	ろすとわーるど_m
g_fzon	ファイナルゾーン (メガドライブ)	ふぁいなるぞーん_m
g_gain	ゲイングランド (メガドライブ)	げいんぐらんど_m
g_garg	Gargoyles (メガドライブ)	がーごいるず_m
g_gax	ゴールデンアックス (メガドライブ)	ごーるでんあっくす_m
g_gbus	ゴーストバスターズ (メガドライブ)	ごーすとばすたーず_m
g_gcm	マジカルアドベンチャー2 / Great Circus Mystery Starring Mickey & Minnie (メガドライブ)	まじかるあどべんちゃー2_m
g_gemfi	ロイヤルブラッド / Gemfire (メガドライブ)	ろいやるぶらっど_m
g_geng	蒼き狼と白き牝鹿 - 元朝秘史/ Genghis Khan II: Clan of the Grey Wolf (メガドライブ)	あおきおおかみとしろきめじか_m
g_gf2	ギャラクシーフォースII (メガドライブ)	ぎゃらくしーふぉーす2_m
g_gley	グレイランサー / Advanced Busterhawk Gley Lancer (メガドライブ)	ぐらいらんさー_m
g_glos	Generations Lost (メガドライブ)	じぇねれーしょんろすと_m
g_gng	大魔界村 / Ghouls 'N Ghosts (メガドライブ)	だいまかいむら_m
g_gomo	宇宙戦艦ゴモラ (メガドライブ)	うちゅうせんかんごもら_m
g_goof	Goofy's Hysterical History Tour (メガドライブ)	ぐーふぃーずひすてりかるひすとりーつあー_m
g_gran	グラナダ (メガドライブ)	ぐらなだ_m
g_grin	V・V / Grind Stormer (メガドライブ)	ぶいふぁいぶ_m
g_grwl	ルナーク / Growl (メガドライブ)	るなーく_m
g_gtwi	Gadget Twins (メガドライブ)	がじぇっとついんず_m
g_gws	The Great Waldo Search (メガドライブ)	ざぐれーとわるどさーち_m
g_gyno	ジノーグ / Wings of Wor (メガドライブ)	じのーぐ_m
g_hard	ハードドライビン (メガドライブ)	はーどどらいびん_m
g_hell	ヘルファイヤー (メガドライブ)	へるふぁいやー_m
g_herz	ヘルツォーク・ツヴァイ (メガドライブ)	へるつぉーくつばい_m
g_hice	ヒット・ジ・アイス (メガドライブ)	ひっとじあいす_m
g_huni	ヘビーユニット メガドライブスペシャル (メガドライブ)	へびーゆにっとめがどらいぶすぺしゃる_m
g_hybrid	ハイブリッドフロント (メガドライブ)	はいぶりっどふろんと_m
g_icd	The Incredible Crash Dummies (メガドライブ)	ざいんくれでぃぶるくらっしゅだみーず_m
g_insx	インセクターX (メガドライブ)	いんせくたーえっくす_m
g_jamm	Jammit (メガドライブ)	じゃみっと_m
g_jbdb	James "Buster" Douglas Knockout Boxing (メガドライブ)	じぇーむずだぐらすのっくあうとぼくしんぐ_m
g_jbok	The Jungle Book (メガドライブ)	ざじゃんぶるぶっく_m
g_jely	Jelly Boy (メガドライブ) (プロトタイプ)	じぇりーぼーい_m
g_jeop	Jeopardy! (メガドライブ)	じぇおぱーでぃ_m
g_jewl	ジュエルマスター (メガドライブ)	じゅえるますたー_m
g_jim2	Earthworm Jim 2 (メガドライブ)	あーすうぉーむじむ2_m
g_jlp	Jリーグプロストライカー (メガドライブ)	じぇーりーぐぷろすとらいかー1_m
g_jlp2	Jリーグプロストライカー2 (メガドライブ)	じぇーりーぐぷろすとらいかー2_m
g_jlpf	プロストライカー ファイナルステージ (メガドライブ)	ぷろすとらいかーふぁいなるすてーじ_m
g_jltf	Justice League Task Force (メガドライブ)	じゃすてぃすりーぐたすくふぉーす_m
g_jpar	ジュラシックパークMD (メガドライブ)	じゅらしっくぱーく_g_m
g_jpra	Jurassic Park - Rampage Edition (メガドライブ)	じゅらしっくぱーくらんぺーじえでぃしょん_m
g_jstr	ジャングルストライク (メガドライブ)	じゃんぐるすとらいく_m
g_junc	ジャンクション (メガドライブ)	じゃんくしょん_m
g_jwws	Jimmy White's Whirlwind Snooker (Europe)	じみーほわいつわーるうぃんどすぬーかー_m
g_kawa	Kawasaki Superbike Challenge (メガドライブ)	かわさきすーぱーばいくちゃれんじ_m
g_kgk	火激 / Ka-Ge-Ki: Fists of Steel (メガドライブ)	かげき_m
g_kishi	騎士伝説 (メガドライブ)	きしでんせつ_m
g_krew	スケルトンクルー (メガドライブ)	すけるとんくるー_m
g_ksfh	Krusty's Super Fun House (メガドライブ) (v1.1)	くらすてぃーずすーぱーふぁんほーす_m
g_ktm	キング・オブ・モンスターズ (メガドライブ)	きんぐおぶもんすたーず_m
g_ktm2	キング・オブ・モンスターズ2 (メガドライブ)	きんぐおぶもんすたーず2_m
g_land	ランドストーカー - 皇帝の財宝 (メガドライブ)	らんどすとーかー_m
g_lem	レミングス (メガドライブ)	れみんぐす_m
g_librty	Liberty of Death (メガドライブ)	りばてぃーおぶです_m
g_lngr2a	ラングリッサーII (メガドライブ)	らんぐりっさー2_ma
g_lngr2c	ラングリッサーII (メガドライブ)	らんぐりっさー2_mc
g_lordmo	ロードモナーク - とことん戦闘伝説 (メガドライブ)	ろーどもなーく_m
g_lot2	Lotus II: R.E.C.S. (メガドライブ)	ろーたす2_m
g_ma96	Madden NFL 96 (メガドライブ)	までんえぬえふえる_m
g_madou	魔道物語 I (メガドライブ)	まどうものがたり1_m
g_mahb	Muhammad Ali Heavyweight Boxing (メガドライブ)	もはめっどありへびーうぇいとぼくしんぐ_m
g_mano	Man Overboard! (メガドライブ)	まんおーばーぼーど_m
g_mars	Marsupilami (メガドライブ)	まるすぴらみ_m
g_marv	マーベルランド (メガドライブ)	まーべるらんど_m
g_maten	魔天の創滅 (メガドライブ)	まてんのそうめつ_m
g_maui	Donald in Maui Mallard (メガドライブ)	どなるどいんまういまらーど_m
g_mazi	マジンサーガ (メガドライブ)	まじんさーが_m
g_merc	戦場の狼II / Mercs (メガドライブ)	せんじょうのおおかみ2_m
g_mhat	まじかるハットのぶっとびターボ!大冒険 (メガドライブ)	まじかるはっとのぶっとびたーぼ_m
g_mick	Mick and Mack as the Global Gladiators (メガドライブ)	みっくあんどまっくあずざぐろーばるぐらでぃえいたーず_m
g_mk3	Mortal Kombat 3 (メガドライブ)	もーたるこんばっと3_g_m
g_mlfoot	Mutant League Football (メガドライブ)	みゅーたんとりーぐふっとぼーる_m
g_mmf	Marko's Magic Football (メガドライブ)	まるこずまじっくふっとぼーる_m
g_mmpr	Mighty Morphin Power Rangers (メガドライブ)	まいてぃもーふぃんぱわーれんじゃーず_m
g_mono	モノポリー (メガドライブ)	ものぽりー_m
g_mowe	マスターオブウエポン (メガドライブ)	ますたーおぶうえぽん_m
g_msbu	The Magic School Bus (メガドライブ)	ざまじっくすくーるばす_m
g_mult	Mickey's Ultimate Challenge (メガドライブ)	みっきーずあるてぃみっとちゃれんじ_m
g_mush	武者アレスタ / M.U.S.H.A (メガドライブ)	むしゃあれすた_m
g_must	ファイアームスタング (メガドライブ)	ふぁいあーむすたんぐ_m
g_mysf	Mystical Fighter (メガドライブ)	みすてぃかるふぁいたー_m
g_na95	NBA Action '95 Starring David Robinson (メガドライブ)	えぬびーえーあくしょん95_m
g_nash	NHL All-Star Hockey '95 (メガドライブ)	えぬえいちえるおーるすたーほっけー95_m
g_ncff	NCAA Final Four Basketball (メガドライブ)	えぬしーえーえーふぁいなるばすけっとぼーる_m
g_new3dg	遙かなるオーガスタ (メガドライブ)	はるかなるおーがすた_m
g_nfl5	NFL '95 (メガドライブ)	えぬえふえる95_m
g_nfpt	Prime Time NFL Starring Deion Sanders (メガドライブ)	ぷらいむたいむえぬえふえるすたーりんぐでいおんさんだーす_m
g_nigel	Nigel Mansell's World Championship Racing (メガドライブ)	ないじぇるまんせるずわーるどちゃんぴおんしっぷれーしんぐ_m
g_nikkan	日刊スポーツプロ野球VAN (メガドライブ)	にっかんすぽーつぷろやきゅう_m
g_njam	NBA Jam (メガドライブ) (v1.1)	えぬびーえーじゃむ_g_m
g_njte	NBA Jam Tournament Edition (メガドライブ)	えぬびーえーじゃむとーなめんとえでぃしょｎ_g_m
g_nl97	NBA Live '97 (メガドライブ)	えぬびーえーらいぶ97_m
g_nl98	NBA Live '98 (メガドライブ)	えぬびーえーらいぶ98_m
g_nobbus	信長の野望 武将風雲録 (メガドライブ)	のぶながのやぼうぶしょうふううんろく_m
g_noblor	信長の野望 覇王伝 (メガドライブ)	のぶながのやぼうはおうでん_m
g_nobu	信長の野望 全国版 (メガドライブ)	のぶながのやぼうぜんこくばん_m
g_norm	Normy's Beach Babe-O-Rama (メガドライブ)	のーみーずびーちべいぶおらま_m
g_nqc	NFL Quarterback Club (メガドライブ)	えぬえふえるくおーたーばっくくらぶ_m
g_nqc6	NFL Quarterback Club 96 (メガドライブ)	えぬえふえるくおーたーばっくくらぶ96_m
g_ootw	アウターワールド / Out of This World (メガドライブ)	あうたーわーるど_m
g_ooze	ジ・ウース (メガドライブ)	じうーず_m
g_opeu	ヨーロッパ戦線 / Operation Europe - Path to Victory 1939-45 (メガドライブ)	よーろっぱせんせん_m
g_or20	アウトラン2019 (メガドライブ)	あうとらん2019_m
g_orun	アウトラン (メガドライブ)	あうとらん_m
g_orur	アウトランナーズ (メガドライブ)	あうとらんなーず_m
g_osom	おそ松くん はちゃめちゃ劇場 (メガドライブ)	おそまつくん_m
g_page	The Pagemaster (メガドライブ)	ざぺーじますたー_m
g_patb	Pat Riley Basketball (メガドライブ)	ぱっとらいりーばすけっとぼーる
g_patlab	機動警察パトレイバー - 98式起動せよ! (メガドライブ)	きどうけいさつぱとれいばー_m
g_pbgl	ペブルビーチの波濤 (メガドライブ)	ぺぶるびーちのはとう_m
g_pidw	The Pirates of Dark Water (メガドライブ) (January 1994)	ざぱいれーつおぶだーくうぉーたー_m
g_pifg	ピットファイター (メガドライブ)	ぴっとふぁいたー_m
g_pmon	パワーモンガー (メガドライブ)	ぱわーもんがー_m
g_prin	プリンス・オブ・ペルシャ (メガドライブ)	ぷりんすおぶぺるしゃ_m
g_prqu	Pro Quarterback (メガドライブ)	ぷろくおーたーばっく_m
g_pst	Pete Sampras Tennis (メガドライブ)	ぴーとさんぷらすてにす_m
g_pst3	時の継承者 ファンタシースターIII (メガドライブ)	ときのけいしょうしゃふぁんたしーすたー3
g_pto	提督の決断 / Pacific Theater of Operations (メガドライブ)	ていとくのけつだん_m
g_puyo	ぷよぷよ (メガドライブ)	ぷよぷよ_m
g_r3k2	三國志II / Romance of the Three Kingdoms II (メガドライブ)	さんごくし2_m
g_r3k3	三國志III / Romance of the Three Kingdoms III (メガドライブ)	さんごくし3_m
g_race	Race Drivin' (メガドライブ)	れーすどらいびん_m
g_raid	雷電伝説 / Raiden Trad (メガドライブ)	らいでんでんせつ_m
g_rain	レインボーアイランドエキストラ (メガドライブ)	れいんぼーあいらんどえきすとら_m
g_ram3	ランボー3 (メガドライブ)	らんぼー3_m
g_ranx	エクスランザー / Ranger-X (メガドライブ)	えくすらんざー_m
g_rast	ラスタンサーガ2 (メガドライブ)	らすたんさーが2_m
g_rb3	R.B.I. Baseball 3 (メガドライブ)	あーるびーあいべーすぼーる3_m
g_rb4	R.B.I. Baseball 4 (メガドライブ)	あーるびーあいべーすぼーる4_m
g_rb93	R.B.I. Baseball '93 (メガドライブ)	あーるびーあいべーすぼーる93_m
g_rb94	R.B.I. Baseball 94 (メガドライブ)	あーるびーあいべーすぼーる94_m
g_rbls	ロードブラスターズ (メガドライブ)	ろーどぶらすたーず_m
g_rens	The Ren and Stimpy Show Presents Stimpy's Invention (メガドライブ)	ざれんあんどすてぃんぴーしょーぷれぜんつすてぃんぴーずいんべんしょん_m
g_rkni	ロケットナイトアドベンチャーズ (メガドライブ)	ろけっとないとあどべんちゃーず_m
g_robt	RoboCop Versus The Terminator (メガドライブ)	ろぼこっぷばーさすざたーみねーたー_m
g_robw	The Adventures of Rocky and Bullwinkle and Friends (メガドライブ)	あどべんちゃーおぶろっきーあんどぶるうぃんくる_m
g_rrr	ロックンロールレーシング (メガドライブ)	ろっくんろーるれーしんぐ_m
g_s_ar	Spider-Man and X-Men in Arcade's Revenge (メガドライブ)	すぱいだーまんあんどえっくすめん_m
g_s_as	スパイダーマン (メガドライブ) (Acclaim)	すぱいだーまん_m
g_s_mc	Spider-Man & Venom - Maximum Carnage (メガドライブ)	すぱいだーまんあんどべのむまきしまむかーねーじ_m
g_s_sa	Spider-Man & Venom - Separation Anxiety (メガドライブ)	すぱいだーまんあんどべのむせぱれーしょんあんぐざいあてぃ_m
g_s3d	ソニック3Dブラスト (メガドライブ)	そにっくすりーでぃーぶらすと_m
g_sagia	ダライアスII / Sagaia (メガドライブ)	だらいあす2_m
g_sair	スーパーエアーウルフ / CrossFire (メガドライブ)	すーぱーえあーうるふ_m
g_sangor	三国志列伝 - 乱世の英雄たち (メガドライブ)	さんごくしれつでん_m
g_sbe2	Shadow of the Beast 2 (メガドライブ)	しゃどうおぶざびーすと2_m
g_sbls	四天明王 / Shadow Blasters (メガドライブ)	してんみょうおう_m
g_sbt	スーパーバトルタンク (メガドライブ)	すーぱーばとるたんく_m
g_scob	Scooby Doo Mystery (メガドライブ)	すくーびーどぅーみすてりー_m
g_sdnk	スラムダンク 強豪真っ向対決 (メガドライブ)	すらむだんく_m
g_seaq	SeaQuest DSV (メガドライブ)	しーくえすとでぃーえすぶい_m
g_semp	鋼鉄帝国 / The Steel Empire (メガドライブ)	こうてつていこく_m
g_sfz	スーパーファンタジーゾーン (メガドライブ)	すーぱーふぁんたじーぞーん_m
g_shaq	Shaq Fu (メガドライブ)	しゃくふ_m
g_shar	スペースハリアーII (メガドライブ)	すぺーすはりあー2_m
g_shdrkj	シャイニング・アンド・ザ・ダークネス (メガドライブ)	しゃいにんぐあんどざだーくねす_m
g_shf1	シャイニングフォース (メガドライブ)	しゃいにんぐふぉーす1_m
g_shf2	シャイニング・フォースII 古えの封印 (メガドライブ)	しゃいにんぐふぉーす2_m
g_shi	スーパーハイインパクト (メガドライブ)	すーぱーはいいんぱくと_g_m
g_shikin	紫禁城 (メガドライブ)	しきんじょう_m
g_sho	スーパーハングオン (メガドライブ)	すーぱーはんぐおん_m
g_shogi	将棋の星 (メガドライブ)	しょうぎのほし_m
g_shura	修羅の門 (メガドライブ)	しゅらのもん_m
g_si91	スペースインベーダー90 (メガドライブ)	すぺーすいんべーだー90_m
g_sks3	ソニック・アンド・ナックルズ (メガドライブ)	そにっくあんどなっくるずあんどそにっく3_m
g_sl91	プロ野球スーパーリーグ '91 (メガドライブ)	ぷろやきゅうすーぱーりーぐ91_m
g_smf	The Smurfs (メガドライブ)	ざすまーふす_m
g_smgp03	スーパーモナコGP (メガドライブ)	すーぱーもなこぐらんぷり_m
g_snow	スノーブラザーズ (メガドライブ)	すのーぶらざーず_m
g_soff	Super Off Road (メガドライブ)	すーぱーおふろーど_m
g_sold	ソルフィース / Sol-Deace (メガドライブ)	そるふぃーす_m
g_son2	ソニック・ザ・ヘッジホッグ2 (メガドライブ)	そにっくざへっじほっぐ2_m
g_son3	ソニック・ザ・ヘッジホッグ3 (メガドライブ)	そにっくざへっじほっぐ3_m
g_sons	ソニック・スピンボール (メガドライブ)	そにっくすぴんぼーる_m
g_spir	Spirou (メガドライブ)	すぱいろう_m
g_spo2	スポット ゴーズトゥーハリウッド (メガドライブ)	すぽっとごーずとぅはりうっど_m
g_sprk	スパークスター - ロケットナイトアドベンチャー2 (メガドライブ)	すぱーくすたー_m
g_srr	Snake Rattle n Roll (メガドライブ)	すねーくらっとるんろーる_m
g_srun	Shadowrun (メガドライブ)	しゃどうらん_m
g_ssma	ストリートスマート (メガドライブ)	すとりーとすまーと_m
g_ssri	サンセットライザーズ (メガドライブ)	さんせっとらいだーず_m
g_sswo	セイントソード (メガドライブ)	せいんとそーど_m
g_stalon	スティールタロンズ (メガドライブ)	すてぃーるたろんず_m
g_stb	スーパーサンダーブレード (メガドライブ)	すーぱーさんだーぶれーど_m
g_std9	Star Trek Deep Space 9 - Crossroads of Time (メガドライブ)	すたーとれっくでぃーぷすぺーすないん
g_supm	Superman (メガドライブ)	すーぱーまん_m
g_sydval	SDヴァリス / Syd of Valis (メガドライブ)	えすでぃーばりす_m
g_taiga	太平記 (メガドライブ)	たいへいき_m
g_taikou	太閤立志伝 (メガドライブ)	たいこうりっしでん_m
g_tanr	タントアール (メガドライブ)	たんとあーる_m
g_tc	Tecmo Cup (メガドライブ)	てくもかっぷ_m
g_tcls	テクノクラッシュ (メガドライブ)	てくのくらっしゅ_m
g_td2	Test Drive II - The Duel (メガドライブ)	てすとどらいぶ2
g_telmj	TEL・TELまあじゃん (メガドライブ)	てるてるまーじゃん_m
g_telstd	TEL・TELスタジアム (メガドライブ)	てるてるすたじあむ_m
g_tetr	テトリス (メガドライブ)	てとりす_m
g_tf2	サンダーフォースII (メガドライブ)	さんだーふぉーす2_m
g_tf3	サンダーフォースIII (メガドライブ)	さんだーふぉーす3_m
g_tf4	サンダーフォースIV (メガドライブ)	さんだーふぉーす4_m
g_tfox	サンダーフォックス (メガドライブ)	さんだーふぉっくす_m
g_tg2	Top Gear 2 (メガドライブ)	とっぷぎあ2_m
g_tick	The Tick (メガドライブ)	ざてぃっく_m
g_tinh	Tinhead (メガドライブ)	てぃんへっど_m
g_tint	Tintin au Tibet (メガドライブ)	てぃんてぃんおてぃべっと_m
g_tje2	Toe Jam and Earl in Panic on Funkotron (メガドライブ)	とぅーじゃむあんどあーるいんぱにっくおんふぁんくおとろん_m
g_tnnb	TNN Bass Tournament of Champions (メガドライブ)	てぃーえぬえぬばすとーなめんとおぶちゃんぴおんず_m
g_tnno	TNN Outdoors Bass Tournament '96 (メガドライブ)	てぃーえぬえぬあうとどあばすとーなめんと96_m
g_tnzs	ザ・ニュージーランドストーリー (メガドライブ)	ざにゅーじーらんどすとーりー_m
g_toug	Toughman Contest (メガドライブ)	とーとまんこんてすと
g_toxi	Toxic Crusaders (メガドライブ)	ときしっくくるせーだーず_m
g_toy	Toy Story (メガドライブ)	といすとーりー_m
g_toys	Toys (メガドライブ)	といず_m
g_trux	達人 / Truxton (メガドライブ)	たつじん_m
g_tsh	スーパーホッケー (メガドライブ)	てくもすーぱーほっけー_m
g_tsnb	テクモスーパーNBAバスケットボール (メガドライブ)	てくもすーぱーえぬびーえー_m
g_tta	Tiny Toon Adventures - Buster's Hidden Treasure (メガドライブ)	たいにーとぅーんあどべんちゃーずばすたーずひどぅんとれじゃー
g_ttaa	タイニー・トゥーン・アドベンチャーズ (メガドライブ)	たいにーとぅーんあどべんちゃーず
g_ttnk	Thomas The Tank Engine and Friends (メガドライブ)	とーますざたんくえんじんあんどふれんず_m
g_turt	Teenage Mutant Ninja Turtles - The Hyperstone Heist (メガドライブ)	てぃーんえいじみゅーたんとにんじゃたーとるずざはいぱーすとーんはいすと
g_tw93	テクモワールドカップ '93 (メガドライブ)	てくもわーるどかっぷ93_m
g_twih	大旋風 / Twin Hawk (メガドライブ)	だいせんぷう_m
